directory,total_segs,covered_segs,inner_missing,gap_count,gap_index,gap_section,gap_local_n_start,gap_local_n_end,gap_missing_count,gap_sample_heb
kiddushin_64b,33,20,12,3,2,Kiddushin 64b,9,11,3,"מִי לָא עָסְקִינַן דְּאָמְרָה לֵיהּ: ״קִדּוּשַׁיי לָךְ״? אֲפִילּוּ הָכִי, לָא שָׁבֵיק אִינִישׁ מִצְו"
kiddushin_64b,33,20,12,3,3,Kiddushin 64b,13,14,2,"״עַד פְּנֵי פֶסַח״ – רַבִּי מֵאִיר אוֹמֵר: אָסוּר עַד שֶׁיַּגִּיעַ, רַבִּי יוֹסֵי אוֹמֵר: עַד שֶׁיֵּ"
kiddushin_66b,34,30,12,1,1,Kiddushin 66a,6,16,11,"אָמַר אַבָּיֵי: מְנָא אָמֵינָא לַהּ, דְּהָהוּא סַמְיָא דַּהֲוָה מְסַדַּר מַתְנְיָיתָא קַמֵּיהּ דְּמָ"
megillah_31,33,19,12,2,1,Megillah 31a,5,13,9,וּשְׁאָר יְמוֹת הַפֶּסַח מְלַקֵּט וְקוֹרֵא מֵעִנְיָנוֹ שֶׁל פֶּסַח. מַאי הִיא? אָמַר רַב פָּפָּא: מֵ
megillah_31,33,19,12,2,2,Megillah 31a,15,17,3,וּשְׁאָר כׇּל יְמוֹת הַחַג קוֹרִין בְּקׇרְבְּנוֹת הֶחָג. יוֹם טוֹב הָאַחֲרוֹן קוֹרִין ״כׇּל הַבְּכוֹ
menachot_23,42,40,12,4,1,Menachot 23a,19,3,4,"אִי אַלִּיבָּא דְּרַבִּי יְהוּדָה, וְהָא"
menachot_23,42,40,12,4,2,Menachot 23b,8,10,3,"מַנִּי? אִי רַבָּנַן – הָא אָמְרִי: עוֹלִין הוּא דְּלָא מְבַטְּלִי הֲדָדֵי, הָא מִין בְּמִינוֹ בָּטֵ"
menachot_23,42,40,12,4,3,Menachot 23b,13,14,2,"תָּא שְׁמַע: הַקּוֹמֶץ שֶׁנִּתְעָרֵב בְּמִנְחָה שֶׁלֹּא נִקְמְצָה – לֹא יַקְטִיר, וְאִם הִקְטִיר – ז"
menachot_23,42,40,12,4,4,Menachot 23b,18,19,2,מַנִּי? אִי רַבָּנַן וְכוּ׳.
menachot_87,48,41,12,1,1,Menachot 87a,23,24,2,"חֲצִי עִשָּׂרוֹן, מָה הָיָה מְשַׁמֵּשׁ? שֶׁבּוֹ הָיָה מוֹדֵד חֲבִיתֵּי כֹּהֵן גָּדוֹל, מֶחֱצָה בַּבֹ"
menachot_92,39,37,12,3,1,Menachot 92b,5,6,2,"וְרַבִּי יְהוּדָה, לְמָה לִי לְמַעֹטִינְהוּ מִקְּרָא? וְהָא אָמַר רָבִינָא: גְּמִירִי שְׁתֵּי סְמִיכ"
menachot_92,39,37,12,3,2,Menachot 92b,13,14,2,"כִּי קֻשְׁיָא אַמַּתְנִיתִין דְּהָךְ פִּירְקָא, דְּ״כׇל הַמְּנָחוֹת בָּאוֹת״, אָמַר רַבִּי שִׁמְעוֹן"
menachot_92,39,37,12,3,3,Menachot 92b,16,20,5,"כׇּל קׇרְבְּנוֹת הַיָּחִיד טְעוּנִין סְמִיכָה, חוּץ מִבְּכוֹר וּמַעֲשֵׂר וּפֶסַח."
niddah_37,40,34,12,1,1,Niddah 37a,19,10,11,"וְאַבָּיֵי — חַד בְּזָב וְחַד בְּזָבָה. וּצְרִיכִי, דְּאִי כְּתַב רַחֲמָנָא"
niddah_59,39,35,12,3,1,Niddah 59a,13,17,5,"עֵד שֶׁהוּא נָתוּן, אִיבַּעְיָא לְהוּ: מִי פְּלִיגִי רַבָּנַן עֲלֵיהּ דְּרַבִּי אֱלִיעֶזֶר בְּרַבִּי"
niddah_59,39,35,12,3,2,Niddah 59b,4,5,2,"אָמַר שְׁמוּאֵל: בִּמְזַנֶּקֶת. מְזַנֶּקֶת נָמֵי, דִּלְמָא בָּתַר דְּתַמּוּ מַיָּא אֲתָא דָּם?"
niddah_59,39,35,12,3,3,Niddah 59b,10,11,2,"אִי הָכִי, הַשְׁתָּא רַבִּי מֵאִיר בִּסְפֵק סְפֵקָא מְטַמֵּא, בְּחַד סְפֵקָא מִיבַּעְיָא? לְהוֹדִיעֲ"
niddah_64,34,26,12,3,1,Niddah 64a,7,8,2,"מֵיתִיבִי: רָאֲתָה יוֹם עֶשְׂרִים וְאֶחָד בְּחֹדֶשׁ זֶה, יוֹם עֶשְׂרִים וּשְׁנַיִם בְּחֹדֶשׁ זֶה, יו"
niddah_64,34,26,12,3,2,Niddah 64b,2,5,4,"מַתְנִי' נָשִׁים בִּבְתוּלֵיהֶם כִּגְפָנִים, יֵשׁ גֶּפֶן שֶׁיֵּינָהּ אָדוֹם, וְיֵשׁ גֶּפֶן שֶׁיֵּינָ"
niddah_64,34,26,12,3,3,Niddah 64b,12,13,2,"הִגִּיעַ זְמַנָּהּ וְכוּ׳. אִיתְּמַר: שִׁימְּשָׁה בַּיָּמִים — רַב אָמַר: לֹא הִפְסִידָה לֵילוֹת, וְ"
pesachim_54,33,33,12,1,1,Pesachim 54b,4,15,12,"מַתְנִי׳ מָקוֹם שֶׁנָּהֲגוּ לַעֲשׂוֹת מְלָאכָה בְּתִשְׁעָה בְּאָב — עוֹשִׂין, מָקוֹם שֶׁנָּהֲגוּ שֶׁ"
rosh_hashanah_25,35,29,12,3,1,Rosh Hashanah 25a,7,8,2,"גְּמָ׳ תַּנְיָא, אָמַר לָהֶם רַבָּן גַּמְלִיאֵל לַחֲכָמִים: כָּךְ מְקוּבְּלַנִי מִבֵּית אֲבִי אַבָּא"
rosh_hashanah_25,35,29,12,3,2,Rosh Hashanah 25a,15,1,3,בָּא לוֹ אֵצֶל רַבִּי דּוֹסָא בֶּן הוֹרְכִּינָס כּוּ׳. תָּנוּ רַבָּנַן: לָמָּה לֹא נִתְפָּרְשׁוּ שְׁ
rosh_hashanah_25,35,29,12,3,3,Rosh Hashanah 25b,3,6,4,"וְאוֹמֵר: ״וּבָאתָ אֶל הַכֹּהֲנִים הַלְוִיִּם וְאֶל הַשֹּׁפֵט אֲשֶׁר יִהְיֶה בַּיָּמִים הָהֵם״, וְכִ"
sanhedrin_21,49,23,12,2,1,Sanhedrin 21a,9,13,5,הָנֵי שְׁמוֹנֶה עֶשְׂרֵה מְנָלַן? דִּכְתִיב: ״וַיִּוָּלְדוּ לְדָוִד בָּנִים בְּחֶבְרוֹן וַיְהִי בְכו
sanhedrin_21,49,23,12,2,2,Sanhedrin 21a,22,24,3,״וַיִּשְׂנָאֶהָ אַמְנוֹן שִׂנְאָה גְּדוֹלָה מְאֹד״. מַאי טַעְמָא? אָמַר רַבִּי יִצְחָק: נִימָא נִקְש
sanhedrin_4,32,32,12,3,1,Sanhedrin 4a,3,4,2,"רַבִּי, הָא דַּאֲמַרַן."
sanhedrin_4,32,32,12,3,2,Sanhedrin 4a,10,11,2,וְאֵימָא: כּוּלְּהוּ לְמִצְוָה? כַּפָּרָה בִּכְדִי לָא אַשְׁכְּחַן!
sanhedrin_4,32,32,12,3,3,Sanhedrin 4b,5,11,7,"וַהֲלֹא דִין הוּא: נֶאֱמַר דָּמִים לְמַטָּה, וְנֶאֱמַר דָּמִים לְמַעְלָה. מָה דָּמִים הָאֲמוּרִים לְ"
sanhedrin_46b,41,22,12,3,1,Sanhedrin 46b,2,8,7,"גְּמָ׳ תָּנוּ רַבָּנַן: אִילּוּ נֶאֱמַר ״חֵטְא וְתָלִיתָ״, הָיִיתִי אוֹמֵר תּוֹלִין אוֹתוֹ וְאַחַר כ"
sanhedrin_46b,41,22,12,3,2,Sanhedrin 46b,13,14,2,תָּא שְׁמַע: ״וְסָפְדוּ לוֹ כׇל יִשְׂרָאֵל וְקָבְרוּ אֹתוֹ״. דְּלָא לִישְׁתַּנֵּי מִמִּנְהֲגָא.
sanhedrin_46b,41,22,12,3,3,Sanhedrin 46b,18,19,2,"תָּא שְׁמַע: ״וְסָפְדוּ לוֹ כׇל יִשְׂרָאֵל וְקָבְרוּ אֹתוֹ״. וְאִי אָמְרַתְּ, כִּי הֵיכִי דְּתֶיהֱוֵ"
sanhedrin_88,38,29,12,3,1,Sanhedrin 88a,7,8,2,"״רִיבֹת״ – זֶה הַשְׁקָאַת סוֹטָה, וַעֲרִיפַת הָעֶגְלָה, וְטׇהֳרַת מְצוֹרָע. הַשְׁקָאַת סוֹטָה – בִּפ"
sanhedrin_88,38,29,12,3,2,Sanhedrin 88a,16,17,2,"הוּא אוֹמֵר: ״כָּךְ הוּא בְּעֵינַי״, וְהֵן אוֹמְרִין: ״כָּךְ הוּא בְּעֵינֵינוּ״ – אֵינוֹ נֶהֱרָג. וְ"
sanhedrin_88,38,29,12,3,3,Sanhedrin 88a,19,2,3,"תָּא שְׁמַע, דְּאָמַר רַבִּי יֹאשִׁיָּה: שְׁלֹשָׁה דְּבָרִים סָח לִי זְעֵירָא מֵאַנְשֵׁי יְרוּשָׁלַי"
shabbat_55,38,38,12,1,1,Shabbat 55b,11,19,9,רְאוּבֵן. בְּנֵי עֵלִי. בְּנֵי שְׁמוּאֵל. דָּוִד וּשְׁלֹמֹה. וְיוֹאָשׁ. סִימָן.
shevuot_25,46,42,12,2,1,Shevuot 25b,1,5,5,דְּרַבִּי יְהוּדָה בֶּן בְּתֵירָא וְרַבָּנַן קָמִיפַּלְגִי? דִּתְנַן: נִשְׁבַּע לְבַטֵּל אֶת הַמִּצְ
shevuot_25,46,42,12,2,2,Shevuot 25b,17,21,5,"אֲמַרוּ לֵיהּ רַבָּנַן לְאַבָּיֵי: אֵימָא בְּמֵזִיד מִיחַיַּיב חֲדָא, בְּשׁוֹגֵג מִיחַיַּיב תַּרְתֵּ"
sotah_2,42,22,12,2,1,Sotah 2a,6,7,2,"וְלִיתְנֵי סוֹטָה, וַהֲדַר לִיתְנֵי נָזִיר! אַיְּידֵי דִּתְנָא כְּתוּבּוֹת וּתְנָא ״הַמַּדִּיר״, תְּ"
sotah_2,42,22,12,2,2,Sotah 2a,11,4,7,וּתְנַן נָמֵי: עֵד אֶחָד אוֹמֵר ״אֲנִי רָאִיתִי שֶׁנִּיטְמֵאת״ — לֹא הָיְתָה שׁוֹתָה.
temurah_31,35,30,12,2,1,Temurah 31a,12,13,2,הֲדַרַן עֲלָךְ כָּל הָאֲסוּרִין.
temurah_31,35,30,12,2,2,Temurah 31b,3,8,6,גְּמָ׳ וּכְלָלָא הוּא דְּכׇל קׇדְשֵׁי מִזְבֵּחַ עוֹשִׂין תְּמוּרָה? וַהֲרֵי עוֹפוֹת דְּקׇדְשֵׁי מִזְ
zevachim_107,46,36,12,2,1,Zevachim 107a,11,12,2,"וְרַבִּי יִשְׁמָעֵאל – חַד לְמוּקְטְרֵי פְּנִים שֶׁחָסְרוּ וְהֶעֱלָן בַּחוּץ, וְחַד לְמוּקְטְרֵי חוּ"
zevachim_107,46,36,12,2,2,Zevachim 107a,15,4,10,דְּתַנְיָא: ״אֲשֶׁר יִשְׁחַט״ – אֵין לִי אֶלָּא שׁוֹחֵט בְּהֵמָה; שָׁחַט עוֹף מְנָא לַן? תַּלְמוּד ל
zevachim_108,45,45,12,2,1,Zevachim 108b,4,9,6,חוֹמֶר בְּהַעֲלָאָה כּוּ׳.
zevachim_108,45,45,12,2,2,Zevachim 108b,13,15,3,"אִיכָּא דְּאָמְרִי, אָמַר עוּלָּא: הַכֹּל מוֹדִים בְּמוּקְטְרֵי חוּץ שֶׁחָסְרוּ (וְהֶעֱלוֹ) [וְהֶעֱל"
zevachim_16,36,35,12,2,1,Zevachim 16a,12,17,6,מָה לְשֵׁם יוֹשֵׁב – שֶׁכֵּן פָּסוּל לְעֵדוּת! שֵׁם יוֹשֵׁב לָא פָּרֵיךְ. וְאִם תִּמְצָא לוֹמַר פָּר
zevachim_16,36,35,12,2,2,Zevachim 16b,9,12,4,וְלִפְרוֹךְ: מָה לְהַצַּד הַשָּׁוֶה שֶׁבָּהֶן – שֶׁכֵּן לֹא הוּתְּרוּ מִכְּלָלָן אֵצֶל כֹּהֵן גָּדוֹ
zevachim_69,40,38,12,4,1,Zevachim 69a,6,7,2,"וְכִי תֵימָא אֵין מִנְחָה בְּבָמָה, אֵין עוֹפוֹת נָמֵי בְּבָמָה!"
zevachim_69,40,38,12,4,2,Zevachim 69a,11,12,2,"(יצא) [יָצָאת] מְלִיקָה שֶׁהִיא לִפְנִים – הוֹאִיל וְהִיא מַתֶּרֶת אֶת הָאִיסּוּר, אֵין מְטַמֵּא בְּ"
zevachim_69,40,38,12,4,3,Zevachim 69a,21,22,2,וְלָא?! וְהָתַנְיָא: מִנַּיִן לְיוֹצֵא – שֶׁאִם עָלָה לֹא יֵרֵד? שֶׁהֲרֵי יוֹצֵא כָּשֵׁר בְּבָמָה.
zevachim_69,40,38,12,4,4,Zevachim 69b,14,16,3,"אֶלָּא טְרֵיפָה מִיבְּעֵי לֵיהּ – לְמַעוֹטֵי טְמֵאָה; מִי שֶׁיֵּשׁ בְּמִינָהּ טְרֵיפָה, יָצְתָה זוֹ "
bava_batra_98,28,28,11,2,1,Bava Batra 98a,13,1,2,״יָשָׁן״ – מִשֶּׁל אֶשְׁתָּקַד כּוּ׳.
bava_batra_98,28,28,11,2,2,Bava Batra 98b,5,11,7,"גְּמָ׳ לְמָה לִי לְמִיתְנָא ״בֵּית חַתְנוּת לִבְנוֹ, וּבֵית אַלְמְנוּת לְבִתּוֹ״? לִיתְנֵי ״בֵּית חַ"
bava_kamma_85,40,35,11,1,1,Bava Kamma 85a,12,18,7,"וְאָמֵינָא לְהוּ אֲנָא: אִי מַכָּה לֹא נִיתְּנָה לְאֶגֶד, רִיפּוּי נָמֵי לָא מִיחַיַּיב! אֶלָּא דְּכ"
bava_metzia_100,52,37,11,2,1,Bava Metzia 100a,15,19,5,בִּשְׁלָמָא לְרָבָא מִדְּסֵיפָא שֶׁמָּא וְשֶׁמָּא – רֵישָׁא נָמֵי שֶׁמָּא וְשֶׁמָּא. אֶלָּא לְרַבָּה
bava_metzia_100,52,37,11,2,2,Bava Metzia 100b,9,12,4,"הָא לָא קַשְׁיָא, כִּדְמַחְלֵיף רַבָּה בַּר אֲבוּהּ וְתָנֵי, רַבִּי מֵאִיר אוֹמֵר: מְשַׁלֵּם כִּשְׁע"
bava_metzia_38,36,28,11,4,1,Bava Metzia 38a,7,8,2,אַדְּרַב נַחְמָן בַּר יִצְחָק – וַדַּאי פְּלִיגָא. אַדְּרַב כָּהֲנָא מִי לֵימָא פְּלִיגָא? כִּי קָאָ
bava_metzia_38,36,28,11,4,2,Bava Metzia 38a,14,15,2,כַּיּוֹצֵא בּוֹ: גַּבָּאֵי צְדָקָה בִּזְמַן שֶׁאֵין לָהֶם עֲנִיִּים לְחַלֵּק – פּוֹרְטִין לַאֲחֵרִים
bava_metzia_38,36,28,11,4,3,Bava Metzia 38b,4,6,3,"רַבָּן שִׁמְעוֹן בֶּן גַּמְלִיאֵל אוֹמֵר יִמְכְּרֵם בְּבֵית דִּין, מִפְּנֵי שֶׁהוּא כְּמֵשִׁיב אֲבֵי"
bava_metzia_38,36,28,11,4,4,Bava Metzia 38b,9,10,2,לְמֵימְרָא דִּתְרֵי טַעְמֵי נִינְהוּ? וְהָאָמַר רַב יְהוּדָה אָמַר שְׁמוּאֵל: הֲלָכָה כְּרַבָּן שִׁמ
bava_metzia_52,33,26,11,3,1,Bava Metzia 52a,14,16,3,"פָּחוֹת מִכֵּן אִיסָּר – אָסוּר לְהוֹצִיאָהּ. מַאי קָאָמַר? אָמַר אַבָּיֵי, הָכִי קָאָמַר: פָּחֲתָה "
bava_metzia_52,33,26,11,3,2,Bava Metzia 52b,1,2,2,"יָתֵר עַל כֵּן מוֹכְרָהּ בְּשׇׁוְיָהּ. מַאי לָאו: שֶׁפָּחֲתָה יוֹתֵר מִכְּדֵי אוֹנָאָתָהּ? לָא, יְתֵ"
bava_metzia_52,33,26,11,3,3,Bava Metzia 52b,6,8,3,אֲמַר אַבָּיֵי: כִּי תְּנַן נָמֵי מַתְנִיתִין – בְּטַלִּית בִּכְרַכִּין תְּנַן. רָבָא אָמַר: טַלִּית
beitzah_19,33,32,11,3,1,Beitzah 19a,4,5,2,וְתַנָּא קַמָּא לָא בָּעֵי הֶעֱרֵב שֶׁמֶשׁ? אֲמַר רָבָא: אַשְׁכַּחְתִּינְהוּ לְרַבָּנַן דְּבֵי רַב ד
beitzah_19,33,32,11,3,2,Beitzah 19b,5,8,4,וְלֹא בָּעֲצֶרֶת — מִפְּנֵי שֶׁהוּא יוֹם טוֹב. קָסָבַר: נְדָרִים וּנְדָבוֹת אֵין קְרֵיבִין בְּיוֹם ט
beitzah_19,33,32,11,3,3,Beitzah 19b,14,15,2,"וְיוֹצֵא בָּהּ מִשּׁוּם שִׂמְחָה, וְאֵינוֹ יוֹצֵא בָּהּ מִשּׁוּם חֲגִיגָה. פְּשִׁיטָא! דָּבָר שֶׁבְּ"
chagigah_25b,30,30,11,1,1,Chagigah 25a,2,8,7,"גְּמָ׳ בִּיהוּדָה אִין, וּבַגָּלִיל לָא, מַאי טַעְמָא?"
eruvin_31,32,32,11,3,1,Eruvin 31a,6,7,2,מִכְּלָל דְּרַבִּי יְהוּדָה סָבַר מוּתָּר? קָסָבַר: מִצְוֹת לָאו לֵיהָנוֹת נִיתְּנוּ.
eruvin_31,32,32,11,3,2,Eruvin 31b,1,2,2,וְאֶת אַכְסַנְיָא דְּמַאי.
eruvin_31,32,32,11,3,3,Eruvin 31b,5,8,4,"אֲמַר לֵיהּ רַב פָּפָּא לְאַבָּיֵי: אִי הָכִי, אֲפִילּוּ הִקְדִּימוֹ בִּכְרִי נָמֵי! אֲמַר לֵיהּ: עָ"
eruvin_73,36,35,11,2,1,Eruvin 73b,5,9,5,"אֵימָא מְצִיעֲתָא: ״וְאִם נִשְׁתַּתְּפוּ בַּמָּבוֹי מוּתָּרִין כָּאן וְכָאן״, אֲתָאן לְרַבָּנַן דְּא"
eruvin_73,36,35,11,2,2,Eruvin 73b,12,16,5,אֲמַר לֵיהּ אַבָּיֵי לְרַב יוֹסֵף: מַאי טַעְמָא דְּלָא תָּנֵי פְּתוּחוֹת זוֹ לָזוֹ. קָסָבַר כׇּל שִׁ
gittin_10,27,26,11,2,1,Gittin 10b,1,2,2,"דְּאִי לָאו דְּכוּתִי חָבֵר הֲוָה, לָא מַחְתֵּים לֵיהּ מִקַּמֵּיהּ. אִי הָכִי, אֲפִילּוּ שְׁאָר שְׁט"
gittin_10,27,26,11,2,2,Gittin 10b,9,14,6,"מַתְנִי׳ כׇּל הַשְּׁטָרוֹת הָעוֹלִים בְּעַרְכָּאוֹת שֶׁל גּוֹיִם, אַף עַל פִּי שֶׁחוֹתְמֵיהֶם גּוֹיִ"
gittin_15,28,23,11,2,1,Gittin 15a,7,12,6,הֲדַרַן עֲלָךְ הַמֵּבִיא קַמָּא
gittin_15,28,23,11,2,2,Gittin 15b,2,4,3,"מַתְקֵיף לַהּ רַב אָשֵׁי: מִי אִיכָּא מִידֵּי, דְּאִילּוּ מַסֵּיק לֵיהּ אִיהוּ לְכוּלֵּיהּ דִּיבּוּר"
gittin_82,29,28,11,2,1,Gittin 82a,6,10,5,הֲדַרַן עֲלָךְ הַזּוֹרֵק
gittin_82,29,28,11,2,2,Gittin 82b,2,5,4,מַאי טַעְמָא דְּרַבִּי אֱלִיעֶזֶר? מִידֵּי דְּהָוֵה אַכֹּל תְּנָאֵי דְּעָלְמָא. וְרַבָּנַן – כֹּל תּ
horayot_10,40,38,11,2,1,Horayot 10a,11,12,2,שֶׁיָּכוֹל וַהֲלֹא דִּין הוּא: וּמָה מָשִׁיחַ שֶׁמֵּבִיא חַטָּאתוֹ מִשֶּׁעָבַר – אֵינוֹ מֵבִיא עַל ה
horayot_10,40,38,11,2,2,Horayot 10b,14,18,5,"דָּרֵשׁ רָבָא, וְאִיתֵּימָא רַבִּי יִצְחָק, מַאי דִּכְתִיב: ״לְתַאֲוָה יְבַקֵּשׁ נִפְרָד (וּבְכָל) ["
hullin_130,31,29,11,1,1,Hullin 130a,8,1,11,"גְּמָ׳ טַעְמָא דִּכְתַב רַחֲמָנָא ״אוֹתָם״, הָא לָאו הָכִי הֲוָה אָמֵינָא קָדָשִׁים חַיָּיבִין בְּמַ"
hullin_141,42,27,11,2,1,Hullin 141a,3,4,2,"אֵין שָׁם אֶפְרוֹחַ וְכוּ׳. אֲמַר לֵיהּ הָהוּא מֵרַבָּנַן לְרָבָא: אֵימָא אִיפְּכָא, אֵין שָׁם אֶפְר"
hullin_141,42,27,11,2,2,Hullin 141a,12,17,6,"וְתוּ, לְרַבִּי יְהוּדָה דְּאָמַר ״שַׁלֵּחַ״ מֵעִיקָּרָא מַשְׁמַע, אֲפִילּוּ עֲשֵׂה נָמֵי לֵיכָּא!"
kiddushin_4,34,31,11,3,1,Kiddushin 4a,5,9,5,וּמִמַּאי דְּדָרְשִׁינַן הָכִי – דְּתַנְיָא: ״וְזֶרַע אֵין לָהּ״
kiddushin_4,34,31,11,3,2,Kiddushin 4a,17,18,2,"אֶלָּא הָכָא, חַד גּוּפָא הִיא – כִּי נָפְקָא לַהּ בְּנַעֲרוּת, בַּגְרוּת מַאי בָּעֲיָא גַּבֵּיהּ?"
kiddushin_4,34,31,11,3,3,Kiddushin 4b,7,8,2,"מֵהֵיכָא קָא מַיְיתֵית לַהּ – מֵאָמָה הָעִבְרִיָּה. מָה לְאָמָה הָעִבְרִיָּה, שֶׁכֵּן יוֹצְאָה בְּכֶ"
kiddushin_46,25,24,11,3,1,Kiddushin 46a,7,8,2,"״בָּזוֹ וּבָזוֹ וּבָזוֹ״ אִם יֵשׁ בְּכוּלָּן שָׁוֶה פְּרוּטָה כּוּ׳. אַהֵיָיא? אִילֵּימָא אַרֵישָׁא,"
kiddushin_46,25,24,11,3,2,Kiddushin 46a,11,1,2,אָמַר רָבָא: שְׁמַע מִינַּהּ מִדְּרַבִּי אַמֵּי תְּלָת. שְׁמַע מִינַּהּ: הַמְקַדֵּשׁ בְּמִלְוָה אֵינ
kiddushin_46,25,24,11,3,3,Kiddushin 46b,8,13,6,"בִּתְרֵי מָנֵי – צָאֵית, בְּחַד מָנָא – לָא צָאֵית."
megillah_27,50,46,11,3,1,Megillah 27a,8,10,3,"קָתָנֵי מִיהַת: גּוֹלְלִים סֵפֶר תּוֹרָה בְּמִטְפְּחוֹת חוּמָּשִׁין, מִטְפְּחוֹת חוּמָּשִׁין — אִין,"
megillah_27,50,46,11,3,2,Megillah 27b,14,15,2,"תָּנֵי תַּנָּא קַמֵּיהּ דְּרַב נַחְמָן: הַמִּתְפַּלֵּל — מַרְחִיק אַרְבַּע אַמּוֹת וּמַשְׁתִּין, וְה"
megillah_27,50,46,11,3,3,Megillah 27b,17,18,2,"בִּשְׁלָמָא מַשְׁתִּין יִשְׁהֶה כְּדֵי הִילּוּךְ אַרְבַּע אַמּוֹת, מִשּׁוּם נִיצוֹצוֹת. אֶלָּא: מִתְ"
menachot_26,42,36,11,3,1,Menachot 26a,18,19,2,"תָּא שְׁמַע: קְמָצוֹ שֶׁלֹּא מִכְּלֵי שָׁרֵת, וְקִידְּשׁוֹ שֶׁלֹּא בִּכְלֵי שָׁרֵת, וְהֶעֱלוֹ וְהִקְ"
menachot_26,42,36,11,3,2,Menachot 26b,2,3,2,"(לֹא) חִישֵּׁב עָלֶיהָ חוּץ לִמְקוֹמוֹ – פָּסוּל, וְאֵין בּוֹ כָּרֵת. חוּץ לִזְמַנּוֹ – פִּיגּוּל, ו"
menachot_26,42,36,11,3,3,Menachot 26b,5,6,2,"לְרַבִּי יְהוּדָה בְּרֵיהּ דְּרַבִּי חִיָּיא מְסַיְּיעָא לֵיהּ, לְרַבִּי יַנַּאי לֵימָא תֶּיהְוֵי תְ"
menachot_29,36,21,11,2,1,Menachot 29a,18,2,4,"אָמַר אַשְׁיָאן בַּר נַדְבָּךְ מִשְּׁמֵיהּ דְּרַב יְהוּדָה: נִיקַּב תּוֹכוֹ שֶׁל הֵ״י כָּשֵׁר, יְרֵי"
menachot_29,36,21,11,2,2,Menachot 29b,7,10,4,"חׇטְרִי לְהוּ לְגַגֵּיהּ דְּחֵי״ת, כְּלוֹמַר: חַי הוּא בְּרוּמוֹ שֶׁל עוֹלָם, וְתָלוּ לֵיהּ לְכַרְעֵ"
menachot_58,24,23,11,3,1,Menachot 58a,2,3,2,"מִיבְּעֵי לֵיהּ לְכִדְתַנְיָא: יָכוֹל יְהֵא יָחִיד מִתְנַדֵּב וּמֵבִיא כַּיּוֹצֵא בָּהּ נְדָבָה, וְק"
menachot_58,24,23,11,3,2,Menachot 58a,6,9,4,"שְׂאוֹר הוּתַּר מִכְּלָלוֹ בַּמִּקְדָּשׁ, דְּבַשׁ לֹא הוּתַּר מִכְּלָלוֹ בַּמִּקְדָּשׁ."
menachot_58,24,23,11,3,3,Menachot 58a,11,14,4,"כֹּל שֶׁמִּמֶּנּוּ לָאִישִּׁים, אָמַר רַחֲמָנָא, וְהַאי אֵין מִמֶּנּוּ לָאִישִּׁים? אוֹ דִלְמָא כֹּל"
moed_katan_7,28,27,11,3,1,Moed Katan 7a,12,13,2,"מַתְנִי׳ רַבִּי מֵאִיר אוֹמֵר: רוֹאִין אֶת הַנְּגָעִים בַּתְּחִילָּה לְהָקֵל, אֲבָל לֹא לְהַחְמִיר. "
moed_katan_7,28,27,11,3,2,Moed Katan 7b,1,2,2,"בְּהֶסְגֵּר שֵׁנִי. מָר סָבַר: בְּכֹהֵן תַּלְיָא מִילְּתָא. אִי טָהוֹר — אָמַר לֵיהּ ״טָהוֹר״, וְאִי"
moed_katan_7,28,27,11,3,3,Moed Katan 7b,11,12,2,רַבִּי אוֹמֵר: אֵינוֹ צָרִיךְ. הֲרֵי הוּא אוֹמֵר: ״וְצִוָּה הַכֹּהֵן וּפִנּוּ אֶת הַבַּיִת״. אִם מַמ
niddah_15,37,33,11,4,1,Niddah 15a,9,10,2,"הוּא דְּאָמַר כְּשַׁמַּאי, דְּאָמַר: כׇּל הַנָּשִׁים דַּיָּין שְׁעָתָן."
niddah_15,37,33,11,4,2,Niddah 15a,15,16,2,"וְכֵן אָמַר רֵישׁ לָקִישׁ: לְמַפְרֵעַ, וְרַבִּי מֵאִיר הִיא. רַבִּי יוֹחָנָן אָמַר: מִכָּאן וּלְהַבָ"
niddah_15,37,33,11,4,3,Niddah 15a,20,21,2,"כְּלַפֵּי לְיָיא? אַדְּרַבָּה, אִיפְּכָא מִסְתַּבְּרָא! אֵין לָהּ וֶסֶת — אֵימָא חֲזַאי, יֵשׁ לָהּ ו"
niddah_15,37,33,11,4,4,Niddah 15a,23,3,4,"רַב אָשֵׁי מַתְנֵי הָכִי, אָמַר רַב הוּנָא:"
rosh_hashanah_29,34,31,11,2,1,Rosh Hashanah 29a,12,16,5,"כֹּהֲנִים אִצְטְרִיכָא לֵיהּ, סָלְקָא דַּעְתָּךְ אָמֵינָא: הוֹאִיל וּכְתִיב ״יוֹם תְּרוּעָה יִהְיֶה "
rosh_hashanah_29,34,31,11,2,2,Rosh Hashanah 29b,12,13,2,מִשֶּׁחָרַב בֵּית הַמִּקְדָּשׁ הִתְקִין רַבָּן יוֹחָנָן בֶּן זַכַּאי וְכוּ׳. תָּנוּ רַבָּנַן: פַּעַם
sanhedrin_112,33,29,11,3,1,Sanhedrin 112a,3,4,2,"תָּא שְׁמַע: הִדִּיחוּהָ נָשִׁים וּקְטַנִּים, אַמַּאי? לֶיהֱוֵי כְּהוּדְּחוּ מֵאֲלֵיהֶן! הָנָךְ בָּת"
